attachment_row,width,mct_node,global_axis,model_static_wind_increment_kN,attachment_static_wind_increment_kN,model_buffeting_sigma_kN,attachment_buffeting_RMS_kN,model_to_attachment_sigma_ratio,comparison_boundary,sign_note
北锚碇转索鞍1,L,6,Y_transverse,1.7928932628740923e-12,40.73,1.7049495945709066e-12,0.01,1.7049495945709065e-10,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍中跨侧,L,157,Y_transverse,-743.9707755875838,-145.42,236.53405985369736,306.65,0.771348638035863,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍中跨侧,L,157,Z_vertical,132.4254546733377,-994.06,116.95766101602376,145.75,0.8024539349298372,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍中跨侧,R,157,Y_transverse,-743.9707821496166,-145.42,236.53405956161015,306.65,0.7713486370833529,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍中跨侧,R,157,Z_vertical,-2.2530882872225195,-994.06,118.38830529842062,145.75,0.8122696761469682,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍中跨侧,L,447,Y_transverse,-736.7687101362573,-145.51,235.7753944924401,312.38,0.7547710944760871,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍中跨侧,L,447,Z_vertical,133.91830033518056,-994.12,117.77864119564346,149.77,0.7863967496537587,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍中跨侧,R,447,Y_transverse,-736.7687162914553,-145.51,235.7753943103381,312.38,0.7547710938931369,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍中跨侧,R,447,Z_vertical,-2.366296426925113,-994.12,119.17591606096802,149.77,0.7957262206113909,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,L,450,X_longitudinal,232.5910896335112,718.67,204.68415085624488,66.97,3.05635584375459,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,L,450,Y_transverse,-3.1511908233937636e-12,-51.9,9.053699724259775e-12,0.01,9.053699724259774e-10,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,L,450,Z_vertical,-3.9598010779354835e-05,-838.3,6.69733163836301e-05,71.83,9.323864177033286e-07,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,R,450,X_longitudinal,-4.136600844263737,718.67,207.11873337578555,66.97,3.0927091738955585,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,R,450,Y_transverse,-7.130252708468277e-13,-51.9,9.145761203585989e-12,0.01,9.145761203585989e-10,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南塔转索鞍边跨侧,R,450,Z_vertical,-4.48225067350127e-05,-838.3,6.882742133747126e-05,71.83,9.581988213486185e-07,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
