apdl_elem_id,offset_elem_id,offset_node_id,master_node,slave_node,source_semantics,system,assembly_name,reason
2017707,2017706,2000076,2000014,8024,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017709,2017708,2000077,2000015,8752,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017711,2017710,2000078,2000016,9480,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017713,2017712,2000079,2000017,10208,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017715,2017714,2000080,2000018,10936,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017717,2017716,2000081,2000042,11656,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017719,2017718,2000082,2000043,12051,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017721,2017720,2000083,2000044,12446,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017723,2017722,2000084,2000045,12841,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017725,2017724,2000085,2000046,13236,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017727,2017726,2000086,2000047,13631,UXYZ,gate,CW1_GATE_01,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017728,,,2000088,2000145,ALL,gate,CW1_GATE_02,left_post 下端焊接中心线偏置：平动+转动
2017729,,,2000127,2000146,ALL,gate,CW1_GATE_02,left_post 上端焊接中心线偏置：平动+转动
2017730,,,2000105,2000148,ALL,gate,CW1_GATE_02,right_post 下端焊接中心线偏置：平动+转动
2017731,,,2000134,2000149,ALL,gate,CW1_GATE_02,right_post 上端焊接中心线偏置：平动+转动
2017733,2017732,2000151,2000089,29,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017735,2017734,2000152,2000090,757,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017737,2017736,2000153,2000091,1485,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017739,2017738,2000154,2000092,2213,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017741,2017740,2000155,2000093,2941,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017743,2017742,2000156,2000094,3669,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017745,2017744,2000157,2000095,4397,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017747,2017746,2000158,2000096,5125,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017749,2017748,2000159,2000097,5853,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017751,2017750,2000160,2000098,6581,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017753,2017752,2000161,2000099,7309,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017755,2017754,2000162,2000100,8037,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017757,2017756,2000163,2000101,8765,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017759,2017758,2000164,2000102,9493,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017761,2017760,2000165,2000103,10221,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017763,2017762,2000166,2000104,10949,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017765,2017764,2000167,2000128,11661,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017767,2017766,2000168,2000129,12056,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017769,2017768,2000169,2000130,12451,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017771,2017770,2000170,2000131,12846,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017773,2017772,2000171,2000132,13241,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017775,2017774,2000172,2000133,13636,UXYZ,gate,CW1_GATE_02,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017776,,,2000174,2000231,ALL,gate,CW1_GATE_03,left_post 下端焊接中心线偏置：平动+转动
2017777,,,2000213,2000232,ALL,gate,CW1_GATE_03,left_post 上端焊接中心线偏置：平动+转动
2017778,,,2000191,2000234,ALL,gate,CW1_GATE_03,right_post 下端焊接中心线偏置：平动+转动
2017779,,,2000220,2000235,ALL,gate,CW1_GATE_03,right_post 上端焊接中心线偏置：平动+转动
2017781,2017780,2000237,2000175,42,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017783,2017782,2000238,2000176,770,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017785,2017784,2000239,2000177,1498,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017787,2017786,2000240,2000178,2226,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017789,2017788,2000241,2000179,2954,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017791,2017790,2000242,2000180,3682,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017793,2017792,2000243,2000181,4410,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017795,2017794,2000244,2000182,5138,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017797,2017796,2000245,2000183,5866,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017799,2017798,2000246,2000184,6594,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017801,2017800,2000247,2000185,7322,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017803,2017802,2000248,2000186,8050,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017805,2017804,2000249,2000187,8778,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017807,2017806,2000250,2000188,9506,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017809,2017808,2000251,2000189,10234,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017811,2017810,2000252,2000190,10962,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017813,2017812,2000253,2000214,11666,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017815,2017814,2000254,2000215,12061,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017817,2017816,2000255,2000216,12456,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017819,2017818,2000256,2000217,12851,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017821,2017820,2000257,2000218,13246,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017823,2017822,2000258,2000219,13641,UXYZ,gate,CW1_GATE_03,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017824,,,2000260,2000317,ALL,gate,CW1_GATE_04,left_post 下端焊接中心线偏置：平动+转动
2017825,,,2000299,2000318,ALL,gate,CW1_GATE_04,left_post 上端焊接中心线偏置：平动+转动
2017826,,,2000277,2000320,ALL,gate,CW1_GATE_04,right_post 下端焊接中心线偏置：平动+转动
2017827,,,2000306,2000321,ALL,gate,CW1_GATE_04,right_post 上端焊接中心线偏置：平动+转动
2017829,2017828,2000323,2000261,55,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017831,2017830,2000324,2000262,783,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017833,2017832,2000325,2000263,1511,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017835,2017834,2000326,2000264,2239,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017837,2017836,2000327,2000265,2967,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017839,2017838,2000328,2000266,3695,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017841,2017840,2000329,2000267,4423,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017843,2017842,2000330,2000268,5151,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017845,2017844,2000331,2000269,5879,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017847,2017846,2000332,2000270,6607,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017849,2017848,2000333,2000271,7335,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017851,2017850,2000334,2000272,8063,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017853,2017852,2000335,2000273,8791,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017855,2017854,2000336,2000274,9519,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017857,2017856,2000337,2000275,10247,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017859,2017858,2000338,2000276,10975,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017861,2017860,2000339,2000300,11671,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017863,2017862,2000340,2000301,12066,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017865,2017864,2000341,2000302,12461,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017867,2017866,2000342,2000303,12856,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017869,2017868,2000343,2000304,13251,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017871,2017870,2000344,2000305,13646,UXYZ,gate,CW1_GATE_04,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017872,,,2000346,2000403,ALL,gate,CW1_GATE_05,left_post 下端焊接中心线偏置：平动+转动
2017873,,,2000385,2000404,ALL,gate,CW1_GATE_05,left_post 上端焊接中心线偏置：平动+转动
2017874,,,2000363,2000406,ALL,gate,CW1_GATE_05,right_post 下端焊接中心线偏置：平动+转动
2017875,,,2000392,2000407,ALL,gate,CW1_GATE_05,right_post 上端焊接中心线偏置：平动+转动
2017877,2017876,2000409,2000347,68,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017879,2017878,2000410,2000348,796,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017881,2017880,2000411,2000349,1524,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017883,2017882,2000412,2000350,2252,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017885,2017884,2000413,2000351,2980,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017887,2017886,2000414,2000352,3708,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017889,2017888,2000415,2000353,4436,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017891,2017890,2000416,2000354,5164,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017893,2017892,2000417,2000355,5892,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017895,2017894,2000418,2000356,6620,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017897,2017896,2000419,2000357,7348,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017899,2017898,2000420,2000358,8076,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017901,2017900,2000421,2000359,8804,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017903,2017902,2000422,2000360,9532,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017905,2017904,2000423,2000361,10260,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017907,2017906,2000424,2000362,10988,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017909,2017908,2000425,2000386,11676,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017911,2017910,2000426,2000387,12071,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017913,2017912,2000427,2000388,12466,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017915,2017914,2000428,2000389,12861,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017917,2017916,2000429,2000390,13256,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017919,2017918,2000430,2000391,13651,UXYZ,gate,CW1_GATE_05,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017920,,,2000432,2000489,ALL,gate,CW1_GATE_06,left_post 下端焊接中心线偏置：平动+转动
2017921,,,2000471,2000490,ALL,gate,CW1_GATE_06,left_post 上端焊接中心线偏置：平动+转动
2017922,,,2000449,2000492,ALL,gate,CW1_GATE_06,right_post 下端焊接中心线偏置：平动+转动
2017923,,,2000478,2000493,ALL,gate,CW1_GATE_06,right_post 上端焊接中心线偏置：平动+转动
2017925,2017924,2000495,2000433,81,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017927,2017926,2000496,2000434,809,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017929,2017928,2000497,2000435,1537,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017931,2017930,2000498,2000436,2265,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017933,2017932,2000499,2000437,2993,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017935,2017934,2000500,2000438,3721,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017937,2017936,2000501,2000439,4449,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017939,2017938,2000502,2000440,5177,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017941,2017940,2000503,2000441,5905,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017943,2017942,2000504,2000442,6633,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017945,2017944,2000505,2000443,7361,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017947,2017946,2000506,2000444,8089,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017949,2017948,2000507,2000445,8817,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017951,2017950,2000508,2000446,9545,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2017953,2017952,2000509,2000447,10273,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2017955,2017954,2000510,2000448,11001,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2017957,2017956,2000511,2000472,11681,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2017959,2017958,2000512,2000473,12076,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2017961,2017960,2000513,2000474,12471,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2017963,2017962,2000514,2000475,12866,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2017965,2017964,2000515,2000476,13261,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2017967,2017966,2000516,2000477,13656,UXYZ,gate,CW1_GATE_06,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2017968,,,2000518,2000575,ALL,gate,CW1_GATE_07,left_post 下端焊接中心线偏置：平动+转动
2017969,,,2000557,2000576,ALL,gate,CW1_GATE_07,left_post 上端焊接中心线偏置：平动+转动
2017970,,,2000535,2000578,ALL,gate,CW1_GATE_07,right_post 下端焊接中心线偏置：平动+转动
2017971,,,2000564,2000579,ALL,gate,CW1_GATE_07,right_post 上端焊接中心线偏置：平动+转动
2017973,2017972,2000581,2000519,94,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_01 原索 slave；保留截面刚体转动
2017975,2017974,2000582,2000520,822,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_02 原索 slave；保留截面刚体转动
2017977,2017976,2000583,2000521,1550,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_03 原索 slave；保留截面刚体转动
2017979,2017978,2000584,2000522,2278,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_04 原索 slave；保留截面刚体转动
2017981,2017980,2000585,2000523,3006,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_05 原索 slave；保留截面刚体转动
2017983,2017982,2000586,2000524,3734,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_06 原索 slave；保留截面刚体转动
2017985,2017984,2000587,2000525,4462,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_07 原索 slave；保留截面刚体转动
2017987,2017986,2000588,2000526,5190,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_08 原索 slave；保留截面刚体转动
2017989,2017988,2000589,2000527,5918,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_09 原索 slave；保留截面刚体转动
2017991,2017990,2000590,2000528,6646,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_10 原索 slave；保留截面刚体转动
2017993,2017992,2000591,2000529,7374,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_11 原索 slave；保留截面刚体转动
2017995,2017994,2000592,2000530,8102,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_12 原索 slave；保留截面刚体转动
2017997,2017996,2000593,2000531,8830,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_13 原索 slave；保留截面刚体转动
2017999,2017998,2000594,2000532,9558,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_14 原索 slave；保留截面刚体转动
2018001,2018000,2000595,2000533,10286,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_15 原索 slave；保留截面刚体转动
2018003,2018002,2000596,2000534,11014,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_BOTTOM_PHI50_16 原索 slave；保留截面刚体转动
2018005,2018004,2000597,2000558,11686,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_01 原索 slave；保留截面刚体转动
2018007,2018006,2000598,2000559,12081,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_02 原索 slave；保留截面刚体转动
2018009,2018008,2000599,2000560,12476,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_03 原索 slave；保留截面刚体转动
2018011,2018010,2000600,2000561,12871,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_04 原索 slave；保留截面刚体转动
2018013,2018012,2000601,2000562,13266,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_05 原索 slave；保留截面刚体转动
2018015,2018014,2000602,2000563,13661,UXYZ,gate,CW1_GATE_07,梁轴 master -> CW1_GANTRY_PHI54_06 原索 slave；保留截面刚体转动
2018016,,,2000604,2000661,ALL,gate,CW1_GATE_08,left_post 下端焊接中心线偏置：平动+转动
2018017,,,2000643,2000662,ALL,gate,CW1_GATE_08,left_post 上端焊接中心线偏置：平动+转动
