case_index,github_scenario_id,i08_case_id,name_cn,category,region,confidence,U10_sustained_ms,gust3s_ms,gust3s_role,Iu,representative_event,note_cn,source,U_deck_ms,wind_profile,stationarity,github_seed_status,derived_seed,derived_u_component_seed,derived_w_component_seed,duration_s,dt_s,sample_count,minimum_frequency_hz,minimum_frequency_policy,maximum_frequency_hz,wind_spectrum,Kaimal_Lu_m,Kaimal_Lw_m,sigma_w_over_sigma_u,sigma_u_definition,coherence_model,Davenport_C,structural_damping_ratio,materialization_status,solver_execution_status
11,infa_2021_zhoushan,I08-infa_2021_zhoushan-S20260805,台风烟花登陆(长三角本地),typhoon,中国浙江舟山->江苏,A,35.8,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"In-Fa 2021-07-25 舟山普陀登陆 38 m/s(2-min), 965 hPa; 江苏滞留37 h",CMA 2分钟平均38/1.06; 预报沿海阵风14-16级(41.5-56.1); 本库唯一穿越桥址流域的台风样本,中央气象台/浙江气象灾害评估报告 (thepaper.cn newsDetail 13809642),43.70768481630429,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
12,doksuri_2023_jinjiang,I08-doksuri_2023_jinjiang-S20260805,台风杜苏芮登陆福建,typhoon,中国福建晋江,A,47.2,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Doksuri 2023-07-28 登陆 50 m/s(2-min), 945 hPa, 登陆福建第二强",CMA 2分钟50/1.06,新华社/中央气象台 news.cn 2023-07/28 c_1129772576,57.62577439468052,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
13,haiyan_2013_peak,I08-haiyan_2013_peak-S20260805,超强台风海燕巅峰,typhoon,西北太平洋/菲律宾,A,63.9,105.6,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Haiyan 2013-11-07, JMA 10-min 230 km/h, 895 hPa; JTWC 1-min 315 km/h; 登陆Guiuan 305 km/h(1-min)",JMA 10分钟值直接采用; 阵风380 km/h为JTWC估计,JMA/JTWC via Wikipedia Meteorological history of Typhoon Haiyan,78.01455474195095,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
14,meranti_2016_peak,I08-meranti_2016_peak-S20260805,超强台风莫兰蒂巅峰,typhoon,西北太平洋/巴士海峡,A,61.1,70.0,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Meranti 2016-09-13, JMA 10-min 220 km/h, 890 hPa; Itbayat 站实测10-min 180 km/h后损毁, Basco 阵风252 km/h",JMA 10分钟值; 阵风取Basco实测70 m/s (峰值估计更高); 后登陆厦门为登陆福建最强,JMA/JTWC/站点实测 via Wikipedia Typhoon Meranti,74.59607659989364,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
15,goni_2020_landfall,I08-goni_2020_landfall-S20260805,超强台风天鹅登陆(史上最强登陆),typhoon,菲律宾,A,76.8,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,Goni 2020-11-01 Catanduanes 登陆 315 km/h(1-min),87.5/1.14; 1分钟口径史上最强登陆热带气旋,JTWC via Wikipedia (Haiyan/Meranti 条目交叉引用),93.76397189642931,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
16,tip_1979_peak,I08-tip_1979_peak-S20260805,超强台风Tip巅峰(最低气压),typhoon,西北太平洋,C,72.0,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Tip 1979-10-12, 870 hPa 全球最低, JMA 10-min 140 kt",140 kt=72.0 m/s 10分钟口径,JMA best track (文献常识级),87.90372365290247,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
17,mangkhut_2018_peak,I08-mangkhut_2018_peak-S20260805,超强台风山竹巅峰,typhoon,西北太平洋/华南,A,69.5,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Mangkhut 2018-09 巅峰 285 km/h(1-min), 后袭吕宋/华南",79.2/1.14,JTWC via Wikipedia,84.85151102606558,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
18,lanyu_ryan_1995_gust,I08-lanyu_ryan_1995_gust-S20260805,兰屿台风阵风纪录,typhoon,台湾兰屿,C,60.1,85.4,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,Super Typhoon Ryan 1995-09-22 兰屿站阵风 85.4 m/s,台风阵风台站实测世界前列; U10=85.4/1.42,台站纪录汇编 (wunderground Category 6 记录对照表),73.37519154915887,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
19,patricia_2015_peak,I08-patricia_2015_peak-S20260805,飓风帕特里夏巅峰(风速纪录),hurricane,东太平洋,A,84.1,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Patricia 2015-10-23, 345 km/h(1-min), 872 hPa",95.8/1.14; 1分钟口径全球热带气旋风速纪录,NHC via Wikipedia (Haiyan 条目交叉引用),102.67643276679303,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
20,dorian_2019_landfall,I08-dorian_2019_landfall-S20260805,飓风多里安登陆巴哈马,hurricane,巴哈马,C,71.9,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,Dorian 2019-09-01 Abaco 登陆 295 km/h(1-min),82/1.14; 大西洋最强登陆之一,NOAA NHC 报告 (文献常识级),87.78163514782901,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
21,gustav_2008_cuba_gust,I08-gustav_2008_cuba_gust-S20260805,飓风古斯塔夫古巴地面阵风,hurricane,古巴,C,66.5,94.4,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.13,Gustav 2008-08-30 Paso Real de San Diego 站 211 mph 阵风,大西洋飓风地面站最大阵风; U10=94.4/1.42,古巴气象所纪录 (wunderground Category 6 对照表),81.18885587386131,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
22,amphan_2020_peak,I08-amphan_2020_peak-S20260805,气旋安攀巅峰(孟加拉湾最强),monsoon,孟加拉湾,A,63.5,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Amphan 2020-05-18, IMD 3-min 240 km/h / JTWC 1-min 270 km/h, 920 hPa",IMD 66.7/1.05 = 63.5; 登陆西孟加拉时降至 1-min 175 km/h. Sweep CSV still 63.0 until S5 replay.,IMD/JTWC via Wikipedia Cyclone Amphan,77.52620072165705,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
23,nargis_2008_peak,I08-nargis_2008_peak-S20260805,气旋纳尔吉斯巅峰,monsoon,孟加拉湾/缅甸,A,52.4,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Nargis 2008-05-02, JTWC 1-min 215 km/h, 伊洛瓦底登陆",59.7/1.14,JTWC via Wikipedia,63.97437665850124,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
24,bhola_1970_peak,I08-bhola_1970_peak-S20260805,1970博拉气旋,monsoon,孟加拉湾/孟加拉,A,49.0,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,"Bhola 1970-11-12, 3-min 185 km/h, 史上最致命热带气旋(>=30万人)",51.4/1.05; 早期估计不确定度大,IMD 历史资料 via Wikipedia,59.82336748600307,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
25,ef3_anchor,I08-ef3_anchor-S20260805,EF3龙卷锚点,tornado,通用,B,47.2,67.0,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.25,EF3 = 61-73 m/s 3秒阵风,"取区间中值67; 非平稳小尺度, 仅量级参考; U10=67/1.42 为名义换算",Enhanced Fujita scale; 郑永光等《风速等级标准与阜宁龙卷强度估计》气象2016 (含m/s对照表),57.62577439468052,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
26,ef4_anchor,I08-ef4_anchor-S20260805,EF4龙卷锚点,tornado,通用,B,57.7,82.0,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.25,EF4 = 74-90 m/s 3秒阵风,区间中值82; 同上,同上,70.44506742739546,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
27,ef5_anchor,I08-ef5_anchor-S20260805,EF5龙卷锚点,tornado,通用,B,66.9,95.0,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.25,EF5 > 90 m/s 3秒阵风,取95为名义值; 中国尚无EF5记录,同上,81.67720989415523,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
28,funing_2016_ef4,I08-funing_2016_ef4-S20260805,江苏阜宁6·23龙卷(EF4),tornado,中国江苏盐城,A,51.8,73.5,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.25,"2016-06-23 阜宁, CMA调查组认定EF4, 最大瞬时约73-74 m/s, 99人遇难","灾调估计值(下限74), 站点实测仅34.6; 与桥址同省, 龙卷走廊证据",中国气象局调查组/新华社; 郑永光等 气象2016,63.24184562806039,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
29,bridge_creek_1999_ref,I08-bridge_creek_1999_ref-S20260805,Bridge Creek龙卷多普勒纪录,tornado,美国俄克拉荷马,C,95.1,135.0,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.25,"1999-05-03, 多普勒雷达 135 m/s @ ~100 m 高度","非10 m非3秒标准口径, 龙卷内部雷达值; 仅作包络上限参考",DOW 雷达纪录 (wunderground Category 6 对照表),116.10616832487534,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
30,dongfangzhixing_2015_downburst,I08-dongfangzhixing_2015_downburst-S20260805,东方之星下击暴流(EF1),downburst,中国湖北监利,A,30.6,43.5,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.22,"2015-06-01 长江监利段下击暴流致客轮翻沉, 灾调EF1",EF1(38-49)中值43.5; 长江航道同类环境事件,郑永光等 气象2016 灾调,37.35908255248356,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
31,andrews_afb_1983_microburst,I08-andrews_afb_1983_microburst-S20260805,Andrews基地微下击暴流,downburst,美国马里兰,C,46.9,66.6,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.22,"1983-08-01, 149 mph 阵风(总统专机降落前后)",Fujita 微暴流经典个例; U10=66.6/1.42 名义,Fujita (1985) 微暴流研究 (文献常识级),57.259508879460085,U_deck=U10*ln(60/0.003)/ln(10/0.003),reference_only,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
